Year,RCP 2.6 Median,RCP 4.5 Median,RCP 8.5 Median
2006,35.33,35.36,36.1
2007,35.53,36.8,36.68
2008,35.28,36.3,35.84
2009,36.2,36.03,35.71
2010,36.02,36.02,36.07
2011,36.26,36.2,35.87
2012,37.12,36.17,36.42
2013,35.52,35.87,36.22
2014,36.91,36.57,36.48
2015,35.82,36.49,36.68
2016,36.19,35.77,35.97
2017,36.28,36.3,35.74
2018,36.64,36.41,35.89
2019,36.34,36.01,36.19
2020,36.1,36.34,37.63
2021,36.07,36.74,36.85
2022,36.02,36.37,36.12
2023,36.77,36.33,36.79
2024,36.21,35.86,37.15
2025,36.53,36.17,37.61
2026,37.39,36.59,36.73
2027,36.91,36.94,37.25
2028,37.06,36.06,36.54
2029,36.78,37.22,37.11
2030,36.8,36.46,36.95
2031,36.54,36.39,36.93
2032,36.51,36.39,37.35
2033,36.01,37.06,36.88
2034,37.99,36.85,37.29
2035,37.31,36.71,38.1
2036,36.66,37.07,37.33
2037,37.23,37.03,37.35
2038,38.14,37.34,37.81
2039,37.17,36.92,37.39
2040,37.15,37.9,37.85
2041,37.61,36.33,38.56
2042,36.8,37.67,37.8
2043,37.13,37.76,38.55
2044,36.45,38.46,37.99
2045,37.8,36.79,39.06
2046,37.56,37.86,38.01
2047,37.16,38.19,38.38
2048,36.93,37.99,39.19
2049,37.5,37.81,38.61
2050,36.76,39.25,37.84
2051,36.83,37.65,38.78
2052,37.42,37.76,39.17
2053,36.93,38.14,39.07
2054,37.67,38.47,39.84
2055,37.71,38.64,39.45
2056,36.6,38.03,39.56
2057,37.29,38.53,39.35
2058,37.4,38.9,39.79
2059,36.54,38.36,40.25
2060,37.28,38.51,39.37
2061,37.25,39.32,39.31
2062,37.02,38.31,39.04
2063,36.97,38.35,39.91
2064,36.97,38.32,39.56
2065,36.82,38.26,40.28
2066,37.47,38.56,41.47
2067,36.53,38.71,40.81
2068,36.64,38.61,40.29
2069,36.65,38.16,40.14
2070,36.96,38.51,39.89
2071,36.95,39.05,40.55
2072,36.25,39.6,41.3
2073,37.72,38.48,41.06
2074,36.83,38.84,39.53
2075,37.03,38.84,40.89
2076,36.68,38.75,41.17
2077,37.45,39.3,41.3
2078,36.53,39.74,41.31
2079,36.44,39.72,41.03
2080,36.57,39.3,41.72
2081,36.94,38.64,42.66
2082,37.06,38.21,42.11
2083,37.48,37.99,41.7
2084,36.69,39.11,42.11
2085,37.51,38.87,42.9
2086,37.42,39.26,41
2087,36.73,38.77,43.43
2088,37.14,38.09,41.66
2089,36.75,39.71,43.3
2090,35.92,38.66,42.68
2091,37.1,38.6,43.16
2092,37.3,38.83,43.97
2093,36.79,39.49,42.84
2094,37.36,39.24,43.25
2095,36.61,39.29,42.14
2096,37,39.48,43.03
2097,36.65,39.02,43.49
2098,36.33,39.6,43.41
2099,36.54,38.6,43.76
2100,36.69,39.59,44.22
